Model,Category,Retail($),Dealer($),Engine(L),Cylinders,Horsepower,CityMPG,HighwayMPG,Weight(lb),Wheelbase(in),Length(in),Width(in)
Chevrolet Malibu LS,sedan,20370,18639,3.5,6,200,22,30,3297,106,188,70
Chevrolet Malibu LT,sedan,23495,21551,3.5,6,200,23,32,3315,106,188,70
Chevrolet Malibu Maxx,wagon,22225,20394,3.5,6,200,22,30,3458,112,188,70
Chevrolet Monte Carlo LS,sedan,21825,20026,3.4,6,180,21,32,3340,111,198,73
Chevrolet Monte Carlo SS,sedan,24225,22222,3.8,6,200,18,28,3434,111,198,73
Chevrolet Tahoe LT,suv,41465,36287,5.3,8,295,14,18,5050,116,197,79
Chevrolet Tracker,suv,20255,19108,2.5,6,165,19,22,2866,98,163,67
Chevrolet TrailBlazer LT,suv,30295,27479,4.2,6,275,16,21,4425,113,192,75
Chevrolet Venture LS,minivan,27020,24518,3.4,6,185,19,26,3699,112,187,72
Chrysler 300M,sedan,29865,27797,3.5,6,250,18,27,3581,113,198,74
Chrysler 300M Special Edition,sedan,33295,30884,3.5,6,255,18,27,3650,113,198,74
Chrysler Concorde LX,sedan,24130,22452,2.7,6,200,21,29,3479,113,208,74
Chrysler Concorde LXi,sedan,26860,24909,3.5,6,232,19,27,3548,113,208,74
Chrysler Crossfire,sports,34495,32033,3.2,6,215,17,25,3060,95,160,70
Chrysler Pacifica,wagon,31230,28725,3.5,6,250,17,23,4675,116,199,79
Chrysler PT Cruiser,sedan,17985,16919,2.4,4,150,22,29,3101,103,169,67
Chrysler PT Cruiser GT,sedan,25955,24172,2.4,4,220,21,27,3217,103,169,67
Chrysler PT Cruiser Limited,sedan,22000,20573,2.4,4,150,22,29,3105,103,169,67
Chrysler Sebring,sedan,19090,17805,2.4,4,150,22,30,3173,108,191,71
Chrysler Sebring Touring,sedan,21840,20284,2.7,6,200,21,28,3222,108,191,71
Chrysler Sebring convertible,sedan,25215,23451,2.4,4,150,22,30,3357,106,194,64
Chrysler Sebring Limited convertible,sedan,30950,28613,2.7,6,200,21,28,3448,106,194,69
Chrysler Town and Country LX,minivan,27490,25371,3.3,6,180,19,26,4068,119,201,79
Chrysler Town and Country Limited,minivan,38380,35063,3.8,6,215,18,25,4331,119,201,79
Dodge Durango SLT,suv,32235,29472,4.7,8,230,15,21,4987,119,201,76
Dodge Grand Caravan SXT,minivan,32660,29812,3.8,6,215,18,25,4440,119,201,79
Dodge Intrepid ES,sedan,24885,23058,3.5,6,232,18,27,3487,113,204,75
Dodge Intrepid SE,sedan,22035,20502,2.7,6,200,21,29,3469,113,204,75
Dodge Neon SE,sedan,13670,12849,2.0,4,132,29,36,2581,105,174,67
Dodge Neon SXT,sedan,15040,14086,2.0,4,132,29,36,2626,105,174,67
Dodge Stratus SXT,sedan,18820,17512,2.4,4,150,21,28,3182,108,191,71
Dodge Stratus SE,sedan,20220,18821,2.4,4,150,21,28,3175,108,191,71
Ford Crown Victoria,sedan,24345,22856,4.6,8,224,17,25,4057,115,212,78
Ford Crown Victoria LX,sedan,27370,25105,4.6,8,224,17,25,4057,115,212,78
Ford Crown Victoria LX Sport,sedan,30315,27756,4.6,8,239,17,25,4057,115,212,78
Ford Escape XLS,suv,22515,20907,3.0,6,201,18,23,3346,103,173,70
Ford Expedition 4.6 XLT,suv,34560,30468,4.6,8,232,15,19,5000,119,206,79
Ford Explorer XLT V6,suv,29670,26983,4.0,6,210,15,20,4463,114,190,72
Ford Focus LX,sedan,13730,12906,2.0,4,110,27,36,2606,103,168,67
Ford Focus SE,sedan,15460,14496,2.0,4,130,26,33,2606,103,168,67
Ford Focus SVT,sedan,19135,17878,2.0,4,170,21,28,2750,103,168,67
Ford Focus ZTW,wagon,17475,16375,2.0,4,130,26,33,2702,103,178,67
Ford Focus ZX5,sedan,15580,14607,2.0,4,130,26,33,2691,103,168,67
Ford Freestar SE,minivan,26930,24498,3.9,6,193,17,23,4275,121,201,77
Ford Mustang,sports,18345,16943,3.8,6,193,20,29,3290,101,183,73
Ford Mustang GT Premium,sports,29380,26875,4.6,8,260,17,25,3347,101,183,73
Ford Taurus LX,sedan,20320,18881,3.0,6,155,20,27,3306,109,198,73
Ford Taurus SE,wagon,22290,20457,3.0,6,155,19,26,3497,109,198,73
Ford Taurus SES Duratec,sedan,22735,20857,3.0,6,201,19,26,3313,109,198,73
Ford Thunderbird Deluxe,sports,37530,34483,3.9,8,280,17,24,3780,107,186,72
GMC Envoy XUV SLE,suv,31890,28922,4.2,6,275,15,19,4945,129,208,75
GMC Safari SLE,minivan,25640,23215,4.3,6,190,16,20,4309,111,190,78
GMC Yukon 1500 SLE,suv,35725,31361,4.8,8,285,16,19,5042,116,199,79
GMC Yukon XL 2500 SLT,suv,46265,40534,6.0,8,325,13,17,6133,130,219,79
Honda Accord EX,sedan,22260,20080,2.4,4,160,26,34,3047,105,188,71
Honda Accord EX V6,sedan,26960,24304,3.0,6,240,21,30,3294,105,188,71
Honda Accord LX,sedan,19860,17924,2.4,4,160,26,34,2994,105,188,71
Honda Accord LX V6,sedan,23760,21428,3.0,6,240,21,30,3349,108,190,72
Honda Civic EX,sedan,17750,16265,1.7,4,127,32,37,2601,103,175,68
Honda Civic DX,sedan,13270,12175,1.7,4,115,32,38,2432,103,175,67
Honda Civic HX,sedan,14170,12996,1.7,4,117,36,44,2500,103,175,67
Honda Civic LX,sedan,15850,14531,1.7,4,115,32,38,2513,103,175,68
Honda Civic Hybrid,sedan,20140,18451,1.4,4,93,46,51,2732,103,175,68
Honda CR-V LX,suv,19860,18419,2.4,4,160,21,25,3258,103,179,70
Honda Element LX,suv,18690,17334,2.4,4,160,21,24,3468,101,167,72
Honda Insight,sedan,19110,17911,2.0,3,73,60,66,1850,95,155,67
Honda Odyssey EX,minivan,27450,24744,3.5,6,240,18,25,4365,118,201,76
Honda Odyssey LX,minivan,24950,22498,3.5,6,240,18,25,4310,118,201,76
Honda Pilot LX,suv,27560,24843,3.5,6,240,17,22,4387,106,188,77
Honda S2000,sports,33260,29965,2.2,4,240,20,25,2835,95,162,69
Hummer H2,suv,49995,45815,6.0,8,316,10,12,6400,123,190,81
Hyundai Accent,sedan,10539,10107,1.6,4,103,29,33,2255,96,167,66
Hyundai Accent GL,sedan,11839,11116,1.6,4,103,29,33,2290,96,167,66
Hyundai Accent GT,sedan,11939,11209,1.6,4,103,29,33,2339,96,167,66
Hyundai Elantra GLS,sedan,13839,12781,2.0,4,138,26,34,2635,103,178,68
Hyundai Elantra GT,sedan,15389,14207,2.0,4,138,26,34,2635,103,178,68
Hyundai Elantra GT hatch,sedan,15389,14207,2.0,4,138,26,34,2698,103,178,68
Hyundai Santa Fe GLS,suv,21589,20201,2.7,6,173,20,26,3549,103,177,73
Hyundai Sonata GLS,sedan,19339,17574,2.7,6,170,19,27,3217,106,187,72
Hyundai Sonata LX,sedan,20339,18380,2.7,6,170,19,27,3217,106,187,72
Hyundai Tiburon GT V6,sports,18739,17101,2.7,6,172,19,26,3023,100,173,69
Hyundai XG350 L,sedan,26189,23486,3.5,6,194,17,26,3651,108,192,72
Infiniti FX35,wagon,34895,31756,3.5,6,280,16,22,4056,112,189,76
Infiniti FX45,wagon,36395,33121,4.5,8,315,15,19,4309,112,189,76
Infiniti G35,sedan,28495,26157,3.5,6,260,18,26,3336,112,187,69
Infiniti G35 Sport Coupe,sedan,29795,27536,3.5,6,280,18,26,3416,112,182,72
Infiniti G35 AWD,sedan,32445,29783,3.5,6,260,18,26,3677,112,187,69
Infiniti I35,sedan,31145,28320,3.5,6,255,19,26,3306,108,194,70
Infiniti M45,sedan,42845,38792,4.5,8,340,17,23,3851,110,197,70
Infiniti Q45 Luxury,sedan,52545,47575,4.5,8,340,17,23,3977,113,200,73
Isuzu Ascender S,suv,31849,29977,4.2,6,275,15,20,4967,129,208,76
Isuzu Rodeo S,suv,20449,19261,3.2,6,193,17,21,3836,106,178,70
Jaguar S-Type 3.0,sedan,43895,40004,3.0,6,235,18,26,3777,115,192,72
Jaguar S-Type 4.2,sedan,49995,45556,4.2,8,294,18,28,3874,115,192,72
Jaguar S-Type R,sedan,63120,57499,4.2,8,390,17,24,4046,115,192,72
Jaguar Vanden Plas,sedan,68995,62846,4.2,8,294,18,28,3803,119,200,73
Jaguar X-Type 2.5,sedan,29995,27355,2.5,6,192,18,26,3428,107,184,70
Jaguar X-Type 3.0,sedan,33995,30995,3.0,6,227,18,25,3516,107,184,70
Jaguar XJ8,sedan,59995,54656,4.2,8,294,18,28,3803,119,200,73
Jaguar XJR,sedan,74995,68306,4.2,8,390,17,24,3948,119,200,73
Jaguar XK8 convertible,sports,74995,68306,4.2,8,294,18,26,3980,102,187,71
Jaguar XKR coupe,sports,81995,74676,4.2,8,390,16,23,3865,102,187,71
Jaguar XKR convertible,sports,86995,79226,4.2,8,390,16,23,4042,102,187,71
Jeep Grand Cherokee Laredo,suv,27905,25686,4.0,6,195,16,21,3790,106,181,72
Jeep Liberty Sport,suv,20130,18973,2.4,4,150,20,24,3826,104,174,72
Jeep Wrangler Sahara,suv,25520,23275,4.0,6,190,16,19,3575,93,150,67
Kia Optima LX,sedan,16040,14910,2.4,4,138,23,30,3281,106,186,72
Kia Optima LX V6,sedan,18435,16850,2.7,6,170,20,27,3279,106,186,72
Kia Rio auto,sedan,11155,10705,1.6,4,104,25,32,2458,95,167,66
Kia Rio manual,sedan,10280,9875,1.6,4,104,26,33,2403,95,167,66
Kia Rio Cinco,wagon,11905,11410,1.6,4,104,26,33,2447,95,167,66
Kia Sedona LX,minivan,20615,19400,3.5,6,195,16,22,4802,115,194,75
Kia Sorento LX,suv,19635,18630,3.5,6,192,16,19,4112,107,180,73
Kia Spectra,sedan,12360,11630,1.8,4,124,24,32,2661,101,178,68
Kia Spectra GS,sedan,13580,12830,1.8,4,124,24,32,2686,101,178,68
Kia Spectra GSX,sedan,14630,13790,1.8,4,124,24,32,2697,101,178,68
Land Rover Discovery SE,suv,39250,35777,4.6,8,217,12,16,4576,100,185,74
Land Rover Freelander SE,suv,25995,23969,2.5,6,174,18,21,3577,101,175,71
Land Rover Range Rover HSE,suv,72250,65807,4.4,8,282,12,16,5379,113,195,76
Lexus GS 300,sedan,41010,36196,3.0,6,220,18,25,3649,110,189,71
Lexus GS 430,sedan,48450,42232,4.3,8,300,18,23,3715,110,189,71
Lexus GX 470,suv,45700,39838,4.7,8,235,15,19,4740,110,188,74
Lexus IS 300 manual,sedan,31045,27404,3.0,6,215,18,25,3255,105,177,68
Lexus IS 300 auto,sedan,32415,28611,3.0,6,215,18,24,3285,105,177,68
Lexus IS 300 SportCross,wagon,32455,28647,3.0,6,215,18,24,3410,105,177,68
Lexus LS 430,sedan,55750,48583,4.3,8,290,18,25,3990,115,197,72
Lexus LX 470,suv,64800,56455,4.7,8,235,13,17,5590,112,193,76
Lexus SC 430,sports,63200,55063,4.3,8,300,18,23,3840,103,178,72
Lexus RX 330,suv,39195,34576,3.3,6,230,18,24,4065,107,186,73
Lincoln Aviator Ultimate,suv,42915,39443,4.6,8,302,13,18,4834,114,193,76
Lincoln LS V6 Luxury,sedan,32495,29969,3.0,6,232,20,26,3681,115,194,73
Lincoln LS V6 Premium,sedan,36895,33929,3.0,6,232,20,26,3681,115,194,73
Lincoln LS V8 Sport,sedan,40095,36809,3.9,8,280,17,24,3768,115,194,73
Lincoln LS V8 Ultimate,sedan,43495,39869,3.9,8,280,17,24,3768,115,194,73
Lincoln Navigator Luxury,suv,52775,46360,5.4,8,300,13,18,5969,119,206,80
Lincoln Town Car Signature,sedan,41815,38418,4.6,8,239,17,25,4369,118,215,78
Lincoln Town Car Ultimate,sedan,44925,41217,4.6,8,239,17,25,4369,118,215,78
Lincoln Town Car Ultimate L,sedan,50470,46208,4.6,8,239,17,25,4474,124,221,78
Mazda MPV ES,minivan,28750,26600,3.0,6,200,18,25,3812,112,188,72
Mazda MX-5 Miata,sports,22388,20701,1.8,4,142,23,28,2387,89,156,66
Mazda MX-5 Miata LS,sports,25193,23285,1.8,4,142,23,28,2387,89,156,66
Mazda Tribute DX 2.0,suv,21087,19742,2.0,4,130,22,25,3091,103,173,72
Mercedes-Benz C32 AMG,sedan,52120,48522,3.2,6,349,16,21,3540,107,178,68
Mercedes-Benz C230 Sport,sedan,26060,24249,1.8,4,189,22,30,3250,107,178,68
Mercedes-Benz C240,wagon,33780,31466,2.6,6,168,19,25,3470,107,179,68
Mercedes-Benz C240 RWD,sedan,32280,30071,2.6,6,168,20,25,3360,107,178,68
Mercedes-Benz C240 AWD,sedan,33480,31187,2.6,6,168,19,25,3360,107,178,68
Mercedes-Benz C320,sedan,37630,35046,3.2,6,215,20,26,3450,107,178,68
Mercedes-Benz C320 Sport two-door,sedan,28370,26435,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz C320 Sport four-door,sedan,35920,33456,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz CL500,sedan,94820,88324,5.0,8,302,16,24,4085,114,196,73
Mercedes-Benz CL600,sedan,128420,119600,5.5,12,493,13,19,4473,114,196,73
Mercedes-Benz CLK320,sedan,45707,41966,3.2,6,215,20,26,3770,107,183,69
Mercedes-Benz CLK500,sedan,52800,49104,5.0,8,302,17,22,3585,107,183,69
Mercedes-Benz E320,wagon,50670,47174,3.2,6,221,19,27,3966,112,190,71
Mercedes-Benz E320 four-door,sedan,48170,44849,3.2,6,221,19,27,3635,112,190,71
Mercedes-Benz E500,wagon,60670,56474,5.0,8,302,16,24,4230,112,190,71
Mercedes-Benz G500,suv,76870,71540,5.0,8,292,13,14,5423,112,186,71
Mercedes-Benz ML500,suv,46470,43268,5.0,8,288,14,17,4874,111,183,72
Mercedes-Benz S430,sedan,74320,69168,4.3,8,275,18,26,4160,122,203,73
Mercedes-Benz S500,sedan,86970,80939,5.0,8,302,16,24,4390,122,203,73
Mercedes-Benz SL500,sports,90520,84325,5.0,8,302,16,23,4065,101,179,72
Mercedes-Benz SL55 AMG,sports,121770,113388,5.5,8,493,14,21,4235,101,179,72
Mercedes-Benz SL600,sports,126670,117854,5.5,12,493,13,19,4429,101,179,72
Mercedes-Benz SLK230,sports,40320,37548,2.3,4,192,21,29,3055,95,158,68
Mercedes-Benz SLK32 AMG,sports,56170,52289,3.2,6,349,17,22,3220,95,158,68
Mercury Grand Marquis GS,sedan,24695,23217,4.6,8,224,17,25,4052,115,212,78
Mercury Grand Marquis LS Premium,sedan,29595,27148,4.6,8,224,17,25,4052,115,212,78
Mercury Grand Marquis LS Ultimate,sedan,30895,28318,4.6,8,224,17,25,4052,115,212,78
Mercury Marauder,sedan,34495,31558,4.6,8,302,17,23,4195,115,212,78
Mercury Monterey Luxury,minivan,33995,30846,4.2,6,201,16,23,4340,121,202,77
Mercury Mountaineer,suv,29995,27317,4.0,6,210,16,21,4374,114,190,72
Mercury Sable GS,wagon,22595,20748,3.0,6,155,19,26,3488,109,198,73
Mercury Sable GS four-door,sedan,21595,19848,3.0,6,155,20,27,3308,109,200,73
Mercury Sable LS Premium,sedan,23895,21918,3.0,6,201,19,26,3315,109,200,73
Mini Cooper,sedan,16999,15437,1.6,4,115,28,37,2524,97,143,67
Mitsubishi Diamante LS,sedan,29282,27250,3.5,6,205,18,25,3549,107,194,70
Mitsubishi Eclipse GTS,sports,25092,23456,3.0,6,210,21,28,3241,101,177,69
Mitsubishi Eclipse Spyder GT,sports,26992,25218,3.0,6,210,21,28,3296,101,177,69
Mitsubishi Endeavor,suv,30492,28330,3.8,6,215,17,21,4134,109,190,74
Mitsubishi Galant,sedan,25700,23883,3.8,6,230,18,26,3649,108,191,72
Mitsubishi Lancer Evolution,sports,29562,27466,2.0,4,271,18,26,3263,103,179,70
Mitsubishi Montero,suv,33112,30763,3.8,6,215,15,19,4718,110,190,75
Mitsubishi Outlander,suv,18892,17569,2.4,4,160,21,27,3240,103,179,69
Nissan 350Z,sports,26910,25203,3.5,6,287,20,26,3188,104,169,72
Nissan 350Z Enthusiast,sports,34390,31845,3.5,6,287,20,26,3428,104,169,72
Nissan Altima S,sedan,19240,18030,2.5,4,175,21,26,3039,110,192,70
Nissan Altima SE,sedan,23290,21580,3.5,6,245,21,26,3197,110,192,70
Nissan Maxima SE,sedan,27490,25182,3.5,6,265,20,28,3473,111,194,72
Nissan Maxima SL,sedan,29440,26966,3.5,6,265,20,28,3476,111,194,72
Nissan Murano,wagon,28739,27300,3.5,6,245,20,25,3801,111,188,74
Nissan Pathfinder SE,suv,27339,25972,3.5,6,240,16,21,3871,106,183,72
Nissan Pathfinder Armada SE,suv,33840,30815,5.6,8,305,13,19,5013,123,207,79
Nissan Quest S,minivan,24780,22958,3.5,6,240,19,26,4012,124,204,78
Nissan Quest SE,minivan,32780,30019,3.5,6,240,18,25,4175,124,204,78
Nissan Sentra 1.8 S,sedan,14740,13747,1.8,4,126,28,35,2581,100,178,67
Nissan Sentra SE-R,sedan,17640,16444,2.5,4,165,23,28,2761,100,178,67
Nissan Xterra XE,suv,20939,19512,3.3,6,180,17,20,3760,104,178,70
Oldsmobile Alero GLS,sedan,23675,21485,3.4,6,170,20,29,3085,107,187,70
Oldsmobile Alero GX,sedan,18825,17642,2.2,4,140,24,32,2946,107,187,70
Oldsmobile Silhouette GL,minivan,28790,26120,3.4,6,185,19,26,3948,120,201,72
Pontiac Aztekt,suv,21595,19810,3.4,6,185,19,26,3779,108,182,74
Porsche Cayenne S,suv,56665,49865,4.5,8,340,14,18,4950,112,188,76
Pontiac Grand Am GT,sedan,22450,20595,3.4,6,175,20,29,3118,107,186,70
Pontiac Grand Prix GT1,sedan,22395,20545,3.8,6,200,20,30,3477,111,198,74
Pontiac Grand Prix GT2,sedan,24295,22284,3.8,6,200,20,30,3484,111,198,74
Pontiac Montana,minivan,23845,21644,3.4,6,185,19,26,3803,112,187,72
Pontiac Montana EWB,minivan,31370,28454,3.4,6,185,18,24,4431,121,201,72
Pontiac Sunfire 1SA,sedan,15495,14375,2.2,4,140,24,33,2771,104,182,68
Pontiac Sunfire 1SC,sedan,17735,16369,2.2,4,140,24,33,2771,104,182,68
Pontiac Vibe,wagon,17045,15973,1.8,4,130,29,36,2701,102,172,70
Porsche 911 Carrera,sports,79165,69229,3.6,6,315,18,26,3135,93,175,70
Porsche 911 Carrera 4S,sports,84165,72206,3.6,6,315,17,24,3240,93,175,72
Porsche 911 Targa,sports,76765,67128,3.6,6,315,18,26,3119,93,175,70
Porsche Boxster,sports,43365,37886,2.7,6,228,20,29,2811,95,170,70
Porsche Boxster S,sports,52365,45766,3.2,6,258,18,26,2911,95,170,70
Saab 9-3 Arc,sedan,40670,38520,2.0,4,210,21,29,3480,105,182,69
Saab 9-3 Arc Sport,sedan,30860,29269,2.0,4,210,20,28,3175,105,183,69
Saab 9-3 Aero,sedan,33360,31562,2.0,4,210,20,28,3175,105,183,69
Saab 9-3 Aero convertible,sedan,43175,40883,2.0,4,210,21,30,3700,105,182,69
Saab 9-5 Arc,sedan,35105,33011,2.3,4,220,21,29,3470,106,190,71
Saab 9-5 Aero,wagon,40845,38376,2.3,4,250,19,29,3620,106,190,71
Saab 9-5 Aero four-door,sedan,39465,37721,2.3,4,250,21,29,3470,106,190,71
Saturn Ion1,sedan,10995,10319,2.2,4,140,26,35,2692,103,185,67
Saturn Ion2,sedan,14300,13393,2.2,4,140,26,35,2692,103,185,67
Saturn Ion2 quad coupe,sedan,14850,13904,2.2,4,140,26,35,2751,103,185,68
Saturn Ion3,sedan,15825,14811,2.2,4,140,26,35,2692,103,185,67
Saturn Ion3 quad coupe,sedan,16350,15299,2.2,4,140,26,35,2751,103,185,68
Saturn L300,minivan,23560,21779,2.2,4,140,24,34,3109,107,190,69
Saturn L300-2,sedan,21410,19801,3.0,6,182,20,28,3197,107,190,69
Saturn VUE,suv,20585,19238,2.2,4,143,21,26,3381,107,181,72
Scion xA,sedan,12965,12340,1.5,4,108,32,38,2340,93,154,67
Scion xB,wagon,14165,13480,1.5,4,108,31,35,2425,98,155,67
Subaru Impreza 2.5 RS,sedan,19945,18399,2.5,4,165,22,28,2965,99,174,69
Subaru Impreza WRX,sports,25045,23022,2.0,4,227,20,27,3085,99,174,69
Subaru Impreza WRX STi,sports,31545,29130,2.5,4,300,18,24,3263,100,174,69
Subaru Legacy GT,sedan,25645,23336,2.5,4,165,21,28,3395,104,184,69
Subaru Legacy L,sedan,20445,18713,2.5,4,165,21,28,3285,104,184,69
Subaru Outback,wagon,23895,21773,2.5,4,165,21,28,3430,104,187,69
Subaru Outback Limited Sedan,sedan,27145,24687,2.5,4,165,20,27,3495,104,184,69
Subaru Outback H6,sedan,29345,26660,3.0,6,212,19,26,3610,104,184,69
Subaru Outback H-6 VDC,sedan,31545,28603,3.0,6,212,19,26,3630,104,184,69
Suzuki Aeno S,sedan,12884,12719,2.3,4,155,25,31,2676,98,171,68
Suzuki Aerio LX,sedan,14500,14317,2.3,4,155,25,31,2676,98,171,68
Suzuki Aerio SX,wagon,16497,16291,2.3,4,155,24,29,2932,98,167,68
Suzuki Forenza S,sedan,12269,12116,2.0,4,119,24,31,2701,102,177,68
Suzuki Forenza EX,sedan,15568,15378,2.0,4,119,22,30,2756,102,177,68
Suzuki Verona LX,sedan,17262,17053,2.5,6,155,20,27,3380,106,188,72
Suzuki Vitara LX,suv,17163,16949,2.5,6,165,19,22,3020,98,163,67
Suzuki XL-7 EX,suv,23699,22307,2.7,6,185,18,22,3682,110,187,70
Toyota 4Runner SR5 V6,suv,27710,24801,4.0,6,245,18,21,4035,110,189,74
Toyota Avalon XL,sedan,26560,23693,3.0,6,210,21,29,3417,107,192,72
